Dist Code,Year,State Code,State Name,Dist Name,NITROGEN CONSUMPTION (tons),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),TOTAL CONSUMPTION (tons),TOTAL PER HA OF NCA (Kg per ha),TOTAL PER HA OF GCA (Kg per ha)
504,2016,1,Andhra Pradesh,Prakasam,63053.0,57.63,115.21,112.12,34847.0,31.85,63.67,61.97,0.0,10.52,21.03,20.47,109412.0,199.92,194.56
504,2017,1,Andhra Pradesh,Prakasam,60306.0,59.4,111.2,108.75,32264.0,31.78,59.49,58.18,0.0,8.82,16.5,16.14,101519.0,187.2,183.08
506,2016,11,Tamil Nadu,Dharmapuri,9283.0,53.44,71.72,57.42,5027.0,28.94,38.84,31.09,0.0,17.63,23.66,18.94,17372.0,134.22,107.45
506,2017,11,Tamil Nadu,Dharmapuri,13206.0,52.68,92.05,66.1,7556.0,30.14,52.67,37.82,0.0,17.17,30.0,21.54,25066.0,174.73,125.47
507,2016,11,Tamil Nadu,Periyar(Erode),23649.0,54.51,176.09,171.84,10628.0,24.5,79.14,77.22,0.0,21.0,67.83,66.19,43386.0,323.06,315.25
507,2017,11,Tamil Nadu,Periyar(Erode),23728.0,56.03,164.99,157.46,8834.0,20.86,61.43,58.62,0.0,23.11,68.07,64.96,42351.0,294.49,281.05
508,2016,11,Tamil Nadu,Pudukkottai,17396.0,53.93,148.76,145.44,7965.0,24.69,68.11,66.59,0.0,21.37,58.95,57.64,32255.0,275.83,269.67
508,2017,11,Tamil Nadu,Pudukkottai,8613.0,44.82,67.36,65.08,4385.0,22.82,34.29,33.13,0.0,32.37,48.65,47.0,19219.0,150.3,145.21
509,2016,11,Tamil Nadu,Dindigul Anna,11495.0,48.63,56.62,55.68,7509.0,31.77,36.99,36.37,0.0,19.6,22.83,22.45,23638.0,116.43,114.5
509,2017,11,Tamil Nadu,Dindigul Anna,13300.0,52.92,60.75,59.96,6739.0,26.82,30.78,30.38,0.0,20.26,23.26,22.95,25131.0,114.79,113.29
510,2016,11,Tamil Nadu,Virudhunagar Kamarajar,6935.0,56.45,58.45,57.34,3631.0,29.55,30.6,30.02,0.0,14.0,14.5,14.22,12286.0,103.55,101.59
510,2017,11,Tamil Nadu,Virudhunagar Kamarajar,6822.0,60.71,56.01,55.11,2672.0,23.78,21.94,21.59,0.0,15.51,14.31,14.08,11237.0,92.25,90.78
512,2016,11,Tamil Nadu,Sivagangai Pasumpon,5019.0,62.18,52.23,52.22,1886.0,23.36,19.63,19.62,0.0,14.46,12.14,12.14,8072.0,84.0,83.99
512,2017,11,Tamil Nadu,Sivagangai Pasumpon,22558.0,88.9,215.62,215.61,1823.0,7.18,17.42,17.42,0.0,3.91,9.49,9.49,25374.0,242.53,242.53
513,2016,11,Tamil Nadu,Chidambanar Toothukudi,8255.0,53.33,41.45,41.2,6235.0,40.28,31.31,31.12,0.0,6.38,4.96,4.93,15478.0,77.72,77.25
513,2017,11,Tamil Nadu,Chidambanar Toothukudi,8689.0,55.98,42.58,42.42,4694.0,30.24,23.0,22.92,0.0,13.77,10.48,10.44,15521.0,76.06,75.78
514,2016,7,Maharashtra,Jalna,65446.0,53.31,114.34,74.75,39480.0,32.16,68.97,45.09,0.0,14.53,31.17,20.38,122766.0,214.48,140.22
514,2017,7,Maharashtra,Jalna,55254.0,50.01,96.53,63.11,35987.0,32.57,62.87,41.1,0.0,17.42,33.61,21.98,110482.0,193.02,126.19
515,2016,7,Maharashtra,Latur,28602.0,48.74,56.85,39.36,23654.0,40.31,47.02,32.55,0.0,10.94,12.76,8.84,58678.0,116.63,80.76
515,2017,7,Maharashtra,Latur,31596.0,43.37,60.96,44.13,30261.0,41.53,58.39,42.27,0.0,15.1,21.23,15.37,72860.0,140.57,101.77
516,2016,7,Maharashtra,Gadchiroli,16255.0,70.75,93.1,74.16,6146.0,26.75,35.2,28.04,0.0,2.5,3.29,2.62,22976.0,131.59,104.82
516,2017,7,Maharashtra,Gadchiroli,16369.0,68.79,93.59,74.54,6013.0,25.27,34.38,27.38,0.0,5.94,8.08,6.44,23796.0,136.05,108.36
517,2016,7,Maharashtra,Sindhudurg,4515.0,62.08,32.14,28.36,1481.0,20.36,10.54,9.3,0.0,17.56,9.09,8.02,7273.0,51.77,45.68
517,2017,7,Maharashtra,Sindhudurg,4555.0,62.98,32.42,28.61,1531.0,21.17,10.9,9.62,0.0,15.86,8.16,7.2,7233.0,51.48,45.43
518,2016,3,Gujarat,Gandhinagar,23959.0,75.58,150.54,98.12,4815.0,15.19,30.25,19.72,0.0,9.23,18.38,11.98,31700.0,199.18,129.83
518,2017,3,Gujarat,Gandhinagar,27312.0,76.33,170.46,109.93,5843.0,16.33,36.47,23.52,0.0,7.34,16.38,10.57,35780.0,223.31,144.02
519,2016,10,Rajasthan,Dholpur,23460.0,82.65,152.26,101.84,4812.0,16.95,31.23,20.89,0.0,0.39,0.73,0.49,28384.0,184.21,123.22
519,2017,10,Rajasthan,Dholpur,19698.0,76.01,129.84,87.21,6025.0,23.25,39.72,26.67,0.0,0.74,1.26,0.85,25914.0,170.82,114.73
520,2016,20,Telangana,Rangareddy,78158.0,55.49,461.07,420.35,45889.0,32.58,270.71,246.8,0.0,11.94,99.19,90.43,140862.0,830.97,757.58
520,2017,20,Telangana,Rangareddy,31881.0,48.73,165.45,150.75,16773.0,25.64,87.05,79.31,0.0,25.64,87.05,79.32,65428.0,339.55,309.38
521,2016,11,Tamil Nadu,Thiruvannamalai,26224.0,60.03,147.91,118.74,10061.0,23.03,56.75,45.56,0.0,16.94,41.74,33.51,43686.0,246.4,197.81
521,2017,11,Tamil Nadu,Thiruvannamalai,33185.0,60.69,159.05,105.41,11289.0,20.64,54.11,35.86,0.0,18.67,48.94,32.43,54684.0,262.09,173.7
523,2016,4,Haryana,Yamunanagar,69931.0,73.9,641.57,334.6,18491.0,19.54,169.64,88.47,0.0,6.56,56.92,29.68,94626.0,868.13,452.76
523,2017,4,Haryana,Yamunanagar,66117.0,79.77,606.58,313.35,13114.0,15.82,120.31,62.15,0.0,4.4,33.48,17.29,82880.0,760.37,392.8
524,2016,4,Haryana,Kaithal,65505.0,82.58,323.14,172.69,12601.0,15.89,62.16,33.22,0.0,1.53,5.98,3.2,79319.0,391.29,209.1
524,2017,4,Haryana,Kaithal,73600.0,84.39,381.35,192.17,12202.0,13.99,63.22,31.86,0.0,1.62,7.31,3.68,87212.0,451.88,227.71
525,2016,4,Haryana,Panipat,40646.0,81.8,432.01,220.54,8440.0,16.99,89.71,45.8,0.0,1.21,6.39,3.26,49687.0,528.11,269.6
525,2017,4,Haryana,Panipat,42813.0,83.42,450.42,228.87,7388.0,14.4,77.73,39.5,0.0,2.19,11.8,6.0,51323.0,539.95,274.37
526,2016,4,Haryana,Rewari,29815.0,69.71,236.63,149.82,11944.0,27.93,94.79,60.02,0.0,2.36,8.01,5.07,42768.0,339.43,214.91
526,2017,4,Haryana,Rewari,28649.0,70.79,228.05,144.38,10722.0,26.49,85.35,54.04,0.0,2.72,8.77,5.55,40473.0,322.17,203.97
527,2016,16,Uttarakhand,Haridwar,28559.0,69.15,250.16,176.17,10112.0,24.48,88.58,62.38,0.0,6.36,23.02,16.21,41299.0,361.75,254.75
527,2017,16,Uttarakhand,Haridwar,27876.0,75.1,244.26,174.13,7834.0,21.11,68.64,48.94,0.0,3.79,12.34,8.8,37118.0,325.24,231.87
528,2016,12,Uttar Pradesh,Firozabad,28439.0,67.62,160.74,90.36,11317.0,26.91,63.96,35.96,0.0,5.48,13.02,7.32,42060.0,237.73,133.64
528,2017,12,Uttar Pradesh,Firozabad,61030.0,68.48,345.15,199.26,24987.0,28.04,141.31,81.58,0.0,3.49,17.59,10.15,89127.0,504.04,291.0
529,2016,12,Uttar Pradesh,Sonbhadra,20179.0,67.91,105.34,69.56,7865.0,26.47,41.06,27.11,0.0,5.62,8.71,5.75,29713.0,155.11,102.43
529,2017,12,Uttar Pradesh,Sonbhadra,33995.0,74.69,176.59,116.8,10257.0,22.53,53.28,35.24,0.0,2.78,6.57,4.35,45517.0,236.45,156.39
530,2016,12,Uttar Pradesh,Mau,21208.0,67.89,175.73,106.83,8279.0,26.5,68.6,41.7,0.0,5.6,14.5,8.81,31237.0,258.84,157.34
530,2017,12,Uttar Pradesh,Mau,37809.0,67.91,313.37,190.63,15292.0,27.47,126.75,77.1,0.0,4.62,21.33,12.97,55674.0,461.45,280.7
531,2016,12,Uttar Pradesh,Mahrajgani,37794.0,68.03,189.76,102.41,14616.0,26.31,73.39,39.6,0.0,5.67,15.81,8.53,55558.0,278.95,150.54
531,2017,12,Uttar Pradesh,Mahrajgani,66979.0,72.27,336.29,181.48,20408.0,22.02,102.47,55.3,0.0,5.71,26.57,14.34,92678.0,465.32,251.12
