Dist Code,Year,State Code,State Name,Dist Name,TOTAL AREA (1000 ha),FOREST AREA (1000 ha),BARREN AND UNCULTIVABLE LAND AREA (1000 ha),LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha),CULTIVABLE WASTE LAND AREA (1000 ha),PERMANENT PASTURES AREA (1000 ha),OTHER FALLOW AREA (1000 ha),CURRENT FALLOW AREA (1000 ha),NET CROPPED AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent)
820,2017,13,West Bengal,Dakshin Dinajpur,221.91,0.93,0.01,32.74,0.02,0.01,0.07,0.06,187.49,409.39,218.35
821,2016,13,West Bengal,Kolkata,495.2547590361511,100.15693293238732,27.469007328498318,45.91524735130524,19.29845310275758,16.39424005634292,19.288192843404904,24.66877272739708,236.6986186743286,344.9852893955081,160.38695573614285
821,2017,13,West Bengal,Kolkata,495.2547590361511,100.15693293238732,27.469007328498318,45.91524735130524,19.29845310275758,16.39424005634292,19.288192843404904,24.66877272739708,236.6986186743286,344.9852893955081,160.38695573614285
823,2016,13,West Bengal,East Midnapore Purba Midnapore,396.59,0.9,0.1,105.58,0.01,0.02,0.02,0.75,287.62,525.53,182.72
823,2017,13,West Bengal,East Midnapore Purba Midnapore,396.59,0.9,0.58,105.81,0.03,0.05,0.02,0.9,286.6,516.22,180.12
824,2016,13,West Bengal,West Midnapore,928.58,171.94,0.77,163.86,2.12,0.54,0.87,63.57,520.25,1004.58,193.1
824,2017,13,West Bengal,West Midnapore,622.76,82.11,0.71,121.17,1.92,0.47,0.52,29.36,383.88,851.45,221.8
902,2016,2,Bihar,Muzaffarpur,315.35,15.832005776630346,5.27,63.43,0.3,0.02,1.33,24.9,202.61,299.71,147.92
902,2017,2,Bihar,Muzaffarpur,315.35,0.0,5.27,63.44,0.29,0.02,1.33,24.9,202.6,299.6,147.88
903,2016,2,Bihar,Darbhanga,254.08,9.301458677911995,1.3,61.05,0.13,0.14,2.13,25.01,151.87,178.25,117.37
903,2017,2,Bihar,Darbhanga,254.08,0.0,1.3,61.06,0.13,0.14,2.12,29.4,147.48,171.92,116.57
904,2016,2,Bihar,Saharsa,164.56,2.5746749623832983,10.79,29.34,0.4,1.12,3.71,16.16,98.63,184.82,187.39
904,2017,2,Bihar,Saharsa,164.56,0.0,10.79,29.25,0.36,1.12,3.71,28.2,86.71,169.32,195.27
905,2016,2,Bihar,Purnea,313.88,0.11,12.33,46.55,1.11,0.04,4.64,51.02,189.17,238.96,126.32
905,2017,2,Bihar,Purnea,313.88,0.11,12.33,46.55,1.11,0.04,4.64,65.2,174.98,194.8,111.33
906,2016,2,Bihar,Saran,264.89,100.86084437890429,17.92,32.49,0.15,0.14,3.62,30.5,171.45,215.86,125.9
906,2017,2,Bihar,Saran,264.89,0.0,17.92,32.5,0.15,0.14,3.62,45.51,156.44,191.75,122.57
907,2016,2,Bihar,Patna,317.24,0.06,12.37,80.22,0.72,0.1,1.52,63.47,157.74,200.06,126.83
907,2017,2,Bihar,Patna,317.24,0.06,12.37,80.23,0.71,0.1,1.52,45.5,175.71,218.93,124.6
908,2016,2,Bihar,Mungair,139.79,28.52,11.44,32.01,0.92,0.18,1.86,22.12,42.13,48.45,115.0
908,2017,2,Bihar,Mungair,139.79,28.52,11.44,32.01,0.92,0.18,1.86,21.86,42.39,48.71,114.91
909,2016,2,Bihar,Bhagalpur,254.3,0.08,22.4,71.02,2.25,0.61,4.87,19.34,126.98,155.02,122.08
909,2017,2,Bihar,Bhagalpur,254.3,0.08,22.4,71.0,2.25,0.61,4.87,23.34,123.0,149.29,121.37
910,2016,15,Jharkhand,Santhal Paragana Dumka,377.52,48.87,25.72,32.28,22.5,18.16,46.0,122.31,55.72,84.91,152.39
910,2017,15,Jharkhand,Santhal Paragana Dumka,377.52,48.87,25.72,32.28,22.5,18.16,46.19,122.31,55.52,85.36,153.75
912,2016,2,Bihar,Gaya,493.77,77.84,27.54,73.27,3.24,2.05,11.25,110.88,183.79,214.92,116.94
912,2017,2,Bihar,Gaya,493.77,77.84,27.54,73.17,3.24,2.05,11.24,111.88,182.9,212.87,116.39
